filename,train_type
signal_000.bin,train_a
signal_001.bin,train_a
signal_002.bin,train_a
signal_003.bin,train_a
signal_004.bin,train_a
signal_005.bin,train_a
signal_006.bin,train_a
signal_007.bin,train_a
signal_008.bin,train_a
signal_009.bin,train_a
signal_010.bin,train_a
signal_011.bin,train_a
signal_012.bin,train_a
signal_013.bin,train_a
signal_014.bin,train_a
signal_015.bin,train_a
signal_016.bin,train_a
signal_017.bin,train_a
signal_018.bin,train_a
signal_019.bin,train_a
signal_020.bin,train_a
signal_021.bin,train_b
signal_022.bin,train_b
signal_023.bin,train_b
signal_024.bin,train_b
signal_025.bin,train_b
signal_026.bin,train_b
signal_027.bin,train_b
signal_028.bin,train_b
signal_029.bin,train_b
signal_030.bin,train_b
signal_031.bin,train_b
signal_032.bin,train_b
signal_033.bin,train_b
signal_034.bin,train_b
signal_035.bin,train_b
signal_036.bin,train_b
signal_037.bin,train_b
signal_038.bin,train_b
signal_039.bin,train_b
signal_040.bin,train_b
signal_041.bin,train_c
signal_042.bin,train_c
signal_043.bin,train_c
signal_044.bin,train_c
signal_045.bin,train_c
signal_046.bin,train_c
signal_047.bin,train_c
signal_048.bin,train_c
signal_049.bin,train_c
signal_050.bin,train_c
signal_051.bin,train_c
signal_052.bin,train_c
signal_053.bin,train_c
signal_054.bin,train_c
signal_055.bin,train_c
signal_056.bin,train_c
signal_057.bin,train_d
signal_058.bin,train_d
signal_059.bin,train_d
signal_060.bin,train_d
signal_061.bin,train_d
signal_062.bin,train_d
signal_063.bin,train_d
signal_064.bin,train_d
signal_065.bin,train_d
signal_066.bin,train_d
signal_067.bin,train_d
signal_068.bin,train_d
signal_069.bin,train_d
signal_070.bin,train_d
signal_071.bin,train_d
signal_072.bin,train_d
signal_073.bin,train_d
signal_074.bin,train_d
signal_075.bin,train_d
signal_076.bin,train_d
signal_077.bin,train_d
signal_078.bin,unknown
signal_079.bin,unknown
signal_080.bin,unknown
signal_081.bin,unknown
signal_082.bin,unknown
signal_083.bin,unknown
signal_084.bin,unknown
signal_085.bin,unknown
signal_086.bin,unknown
signal_087.bin,unknown
signal_088.bin,unknown
signal_089.bin,unknown
signal_090.bin,unknown
signal_091.bin,unknown
signal_092.bin,unknown
signal_093.bin,unknown
signal_094.bin,unknown
signal_095.bin,unknown
signal_096.bin,unknown
signal_097.bin,unknown
signal_098.bin,unknown
signal_099.bin,unknown
signal_100.bin,unknown
signal_101.bin,unknown
signal_102.bin,unknown
signal_103.bin,unknown
signal_104.bin,unknown
